Node,Percent,AUC,SD,SE
data1,1,0.8703125,0.127114874,0.040197252
data1,2,0.758718872,0.148595682,0.046990081
data1,3,0.903077189,0.080221692,0.025368326
data1,4,0.990195719,0.026945669,0.008520969
data1,5,0.998891195,0.00350635,0.001108805
data1,6,0.999468994,0.001679188,0.000531006
data1,7,1,0,0
data1,8,1,0,0
data2,1,0.725416667,0.148389632,0.038314038
data2,2,0.774645182,0.134430024,0.034709683
data2,3,0.767457682,0.166602719,0.043016637
data2,4,0.827561849,0.132705458,0.034264402
data2,5,0.872324219,0.090238797,0.023299557
data2,6,0.885680339,0.103562077,0.026739613
data2,7,0.963893229,0.042380431,0.01094258
data2,8,0.965859375,0.049846113,0.012870211
data2,9,0.991861979,0.013141943,0.003393235
data2,10,0.994072266,0.012339491,0.003186043
data2,11,0.993450521,0.01160946,0.00299755
data2,12,0.996588542,0.007431653,0.001918845
data2,13,0.997223307,0.00570726,0.001473608
data2,14,1,0,0
data2,15,1,0,0
data3,1,0.6453125,0.151202669,0.033809945
data3,2,0.664538574,0.177716171,0.039738544
data3,3,0.811654227,0.13405664,0.029975976
data3,4,0.904900251,0.133895825,0.029940017
data3,5,0.976496233,0.031202906,0.006977182
data3,6,0.980078125,0.034971663,0.007819902
data3,7,0.996121652,0.008281395,0.001851776
data3,8,0.998936244,0.003363891,0.000752189
data3,9,0.998050363,0.006165294,0.001378602
data3,10,0.998064314,0.006121178,0.001368737
data3,11,0.998036412,0.006209411,0.001388467
data3,12,0.997907366,0.006617489,0.001479716
data3,13,0.997938756,0.006518227,0.00145752
data3,14,0.997952707,0.00647411,0.001447655
data3,15,0.997952707,0.00647411,0.001447655
data3,16,1,0,0
data3,17,1,0,0
data4,1,0.843229167,0.147343577,0.04659413
data4,2,0.807830811,0.143315805,0.045320437
data4,3,0.95226237,0.059737502,0.018890657
data4,4,0.971500651,0.040161987,0.012700335
data4,5,0.99277242,0.022855614,0.00722758
data4,6,1,0,0
data4,7,1,0,0
data5,1,0.666071429,0.172783173,0.049878206
data5,2,0.710489328,0.14097458,0.040695856
data5,3,0.870397949,0.128610953,0.037126784
data5,4,0.865028599,0.140644294,0.04060051
data5,5,0.932577079,0.07811441,0.022549688
data5,6,0.955841936,0.063829376,0.018425954
data5,7,0.982271903,0.040103452,0.011576869
data5,8,0.983508301,0.044131845,0.012739766
data5,9,0.988731166,0.035635181,0.010286991
data5,10,0.993171038,0.021595074,0.006233961
data5,11,1,0,0
data5,12,1,0,0
data6,1,0.55,0.158113883,0.091287093
data6,2,1,0,0
data6,3,1,0,0
data7,1,0.577135417,0.119157553,0.037680927
data7,2,0.817478841,0.122323652,0.038682135
data7,3,0.864921061,0.084370363,0.026680252
data7,4,0.929781901,0.066133272,0.020913177
data7,5,0.972179362,0.023717047,0.007499989
data7,6,0.978207194,0.019732949,0.006240107
data7,7,0.97585612,0.036070476,0.011406486
data7,8,0.998194987,0.003805319,0.001203348
data7,9,1,0,0
data7,10,1,0,0
data8,1,0.533846618,0.089753506,0.016386673
data8,2,0.779323294,0.110843745,0.020237207
data8,3,0.866598732,0.100418544,0.018333834
data8,4,0.926447388,0.053440967,0.009756941
data8,5,0.957113338,0.040756931,0.007441163
data8,6,0.970270041,0.022644824,0.00413436
data8,7,0.975620848,0.019371182,0.003536678
data8,8,0.987288647,0.013300655,0.002428356
data8,9,0.986791402,0.014002953,0.002556578
data8,10,0.987280155,0.014546282,0.002655776
data8,11,0.99030514,0.012034998,0.00219728
data8,12,0.992351676,0.01203526,0.002197328
data8,13,0.992761171,0.012109624,0.002210905
data8,14,0.993048007,0.012841256,0.002344482
data8,15,0.99532571,0.007056369,0.001288311
data8,16,0.994302914,0.009751537,0.001780379
data8,17,0.995078502,0.010625803,0.001939997
data8,18,0.995413459,0.008728059,0.001593518
data8,19,0.996728752,0.005204055,0.000950126
data8,20,0.996925008,0.005342004,0.000975312
data8,21,0.99733639,0.005399753,0.000985856
data8,22,0.996925008,0.005662256,0.001033782
data8,23,0.997975166,0.004755086,0.000868156
data8,24,0.998512983,0.004695734,0.00085732
data8,25,0.99822143,0.004802057,0.000876732
data8,26,0.998633756,0.003533033,0.000645041
data8,27,0.998762077,0.003510879,0.000640996
data8,28,0.999613149,0.000884548,0.000161496
data8,29,1,0,0
data8,30,1,0,0
data9,1,0.598697917,0.092920066,0.037934458
data9,2,0.830077108,0.099774155,0.040732628
data9,3,0.959550985,0.055175915,0.022525473
data9,4,0.997265625,0.008646853,0.003530063
data9,5,1,0,0
data9,6,1,0,0
