"","Acc","Recall","Pre","FPR","Fmeasure","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",0.0648,1,0.0184718723761545,0.951954397394137,0.0362737015663644,0.072,1,0.0260285474391268,0.951599671862182,0.0507364975450082
"2",0.0696,0.95,0.0160880609652837,0.944715447154472,0.0316402997502082,0.0784,0.967741935483871,0.0254022015241321,0.944216570959803,0.0495049504950495
"3",0.1272,0.883720930232558,0.0171557562076749,0.886039886039886,0.0336581045172719,0.1348,0.919354838709677,0.0257336343115124,0.885151763740771,0.0500658761528327
"4",0.0544,1,0.0166389351081531,0.960975609756098,0.0327332242225859,0.0632,1,0.0257903494176373,0.960623461853979,0.0502838605028386
"5",0.0896,0.914893617021277,0.0185745140388769,0.926212800652263,0.0364098221845893,0.0956,0.935483870967742,0.0250539956803456,0.925758818703856,0.0488010096760623
"6",0.1428,0.829268292682927,0.015668202764977,0.86864579097194,0.0307553143374039,0.1512,0.887096774193548,0.0253456221198157,0.867514356029532,0.0492831541218638
"7",0.086,0.875,0.0151187904967603,0.926829268292683,0.029723991507431,0.0948,0.919354838709677,0.024622030237581,0.92616899097621,0.0479596129575095
"8",0.0864,0.918918918918919,0.0146868250539957,0.926106374340235,0.0289115646258503,0.0964,0.951612903225806,0.0254859611231102,0.925348646431501,0.0496424063946151
"9",0.0708,0.951219512195122,0.0165254237288136,0.943879625864172,0.0324864639733444,0.0792,0.967741935483871,0.0254237288135593,0.943396226415094,0.0495458298926507
"10",0.102,0.882352941176471,0.0132100396301189,0.908759124087591,0.0260303687635575,0.1132,0.935483870967742,0.0255394099515632,0.907711238720262,0.0497213887698243
"11",0.1228,0.880952380952381,0.0166292134831461,0.890154597233523,0.0326422584913983,0.1308,0.919354838709677,0.0256179775280899,0.889253486464315,0.04984696108439
"12",0.0588,0.972972972972973,0.0150753768844221,0.954933008526188,0.0296907216494845,0.0688,0.983870967741935,0.0255443886097152,0.954470877768663,0.0497959183673469
"13",0.0528,1,0.0157938487115544,0.961819658813972,0.0310965630114566,0.0624,1,0.0257689110556941,0.961443806398687,0.0502431118314425
"14",0.1064,0.888888888888889,0.0141467727674624,0.905032467532468,0.0278503046127067,0.1168,0.935483870967742,0.0256410256410256,0.904019688269073,0.0499139414802065
"15",0.0716,0.975609756097561,0.0169491525423729,0.943472956486377,0.0333194502290712,0.08,0.983870967741935,0.0258474576271186,0.94298605414274,0.0503715937241949
"16",0.074,1,0.0182357930449534,0.942205942205942,0.0358184089962516,0.0816,1,0.0262934690415606,0.941755537325677,0.0512396694214876
"17",0.054,1,0.0162229617304493,0.960991466883381,0.0319279574293901,0.0632,1,0.0257903494176373,0.960623461853979,0.0502838605028386
"18",0.106,0.844444444444444,0.0167696381288614,0.907535641547861,0.0328861964517525,0.1128,0.887096774193548,0.0242718446601942,0.906890894175554,0.0472508591065292
"19",0.0848,0.926829268292683,0.0163581575548859,0.929239528263522,0.0321489001692047,0.0932,0.951612903225806,0.0253981919931124,0.928630024610336,0.0494758909853249
"20",0.1232,0.833333333333333,0.0157657657657658,0.88893409275834,0.0309460654288241,0.1312,0.887096774193548,0.0247747747747748,0.888022969647252,0.0482033304119194
"21",0.052,1,0.0149625935162095,0.961850649350649,0.0294840294840295,0.0624,1,0.0257689110556941,0.961443806398687,0.0502431118314425
"22",0.1128,0.869565217391304,0.0177619893428064,0.901385493072535,0.0348128807658834,0.1192,0.903225806451613,0.024866785079929,0.900738310090238,0.0484010371650821
"23",0.0868,0.9,0.0155507559395248,0.926422764227642,0.0305732484076433,0.0956,0.935483870967742,0.0250539956803456,0.925758818703856,0.0488010096760623
